Gender,Age,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,SupportCalls,PaymentMethod,Churn
0,49,21,94,1974,0,1,9,0,1
1,20,23,21,483,1,1,7,0,1
1,59,1,61,61,0,2,10,0,1
1,63,55,110,6050,0,0,5,0,1
1,59,25,97,2425,0,1,2,1,1
1,43,8,83,664,0,2,4,0,1
0,32,8,46,368,1,0,0,2,0
1,50,61,110,6710,1,2,3,0,0
1,68,12,93,1116,0,1,2,1,1
0,60,48,93,4464,0,1,5,2,0
1,34,60,55,3300,1,2,6,2,0
0,43,14,85,1190,1,2,9,1,1
0,61,1,107,107,1,0,3,2,1
0,34,69,71,4899,0,2,4,0,0
0,44,29,48,1392,0,1,4,2,1
0,47,6,55,330,1,2,10,1,1
0,22,37,79,2923,1,2,10,1,1
1,34,7,80,560,1,1,5,2,1
0,29,15,25,375,1,2,4,2,0
0,66,47,54,2538,0,0,5,1,0
1,47,14,79,1106,1,1,1,1,1
1,35,23,108,2484,1,0,5,0,0
1,29,1,64,64,0,2,10,2,1
0,70,41,75,3075,0,2,0,1,1
0,27,31,104,3224,1,2,8,0,1
0,27,65,112,7280,0,1,6,2,1
0,40,51,114,5814,1,0,2,1,0
0,23,2,74,148,0,0,10,0,1
0,51,27,47,1269,1,1,4,2,0
1,61,35,34,1190,1,0,7,1,0
1,45,61,21,1281,1,1,6,2,0
1,68,32,92,2944,1,1,8,0,1
0,36,60,100,6000,1,0,4,1,0
0,22,25,98,2450,1,2,1,2,0
1,44,39,109,4251,0,1,3,2,1
0,22,31,33,1023,1,2,8,1,1
0,39,66,33,2178,0,2,5,1,0
0,58,14,110,1540,0,0,4,1,0
0,30,34,84,2856,1,0,7,1,0
1,31,37,58,2146,1,0,2,0,0
0,59,26,91,2366,1,1,6,1,0
0,22,45,81,3645,1,2,4,1,0
1,49,39,105,4095,0,2,4,0,1
1,39,18,52,936,0,2,7,1,1
0,38,56,52,2912,1,1,4,2,0
1,42,69,97,6693,1,0,2,1,0
0,68,5,56,280,1,0,0,0,0
1,25,25,58,1450,1,0,9,1,1
0,33,23,76,1748,0,0,0,2,0
0,35,40,86,3440,0,2,4,1,1
1,51,21,89,1869,0,0,1,1,0
0,50,64,51,3264,0,1,5,0,0
0,35,30,65,1950,0,2,10,0,1
0,22,51,52,2652,1,2,9,0,1
0,26,8,119,952,0,2,10,1,1
0,64,60,101,6060,1,1,0,1,0
1,38,13,98,1274,1,1,5,0,0
1,66,18,45,810,0,1,6,1,1
0,27,32,73,2336,0,1,1,2,0
1,20,64,53,3392,1,2,5,2,0
1,36,13,85,1105,0,0,3,1,1
0,29,18,64,1152,1,0,9,1,1
0,22,49,63,3087,0,2,10,2,1
1,25,13,107,1391,0,1,0,2,0
0,64,15,28,420,1,0,2,1,0
1,62,62,49,3038,0,1,10,2,1
0,54,65,39,2535,0,2,7,0,1
1,54,49,43,2107,1,1,3,2,0
1,47,32,107,3424,1,1,10,2,1
1,57,6,113,678,1,0,8,1,1
1,35,4,46,184,0,0,7,1,0
0,62,41,56,2296,0,1,1,2,0
0,50,42,30,1260,0,2,5,0,1
1,50,57,37,2109,1,1,1,2,0
0,41,48,21,1008,0,2,3,1,0
0,62,68,102,6936,0,1,3,2,0
1,29,65,69,4485,1,0,7,1,0
1,52,12,101,1212,1,1,5,2,1
1,57,6,94,564,0,2,8,2,1
0,37,63,111,6993,1,0,1,2,0
1,70,43,104,4472,1,1,9,1,1
1,70,48,119,5712,1,1,3,2,0
1,18,68,85,5780,1,2,6,1,0
0,66,16,73,1168,1,2,10,0,1
0,55,46,74,3404,1,1,10,0,1
0,46,67,93,6231,0,2,2,2,0
1,33,72,106,7632,1,2,5,2,0
1,26,58,77,4466,0,1,2,1,1
0,68,71,62,4402,0,2,5,2,0
1,30,68,40,2720,0,1,10,0,1
1,44,67,70,4690,0,2,3,2,1
1,42,27,69,1863,0,2,0,0,0
1,32,29,41,1189,1,2,7,1,0
0,43,30,66,1980,1,2,7,2,0
0,20,40,29,1160,0,0,0,0,0
1,29,22,97,2134,1,1,7,0,1
0,60,11,53,583,1,1,3,1,0
1,35,57,76,4332,1,0,7,2,0
1,25,49,107,5243,1,1,1,0,0
0,52,2,113,226,0,0,9,0,1
1,59,50,80,4000,1,0,1,2,0
1,46,21,47,987,1,0,7,0,0
1,31,66,58,3828,0,0,5,1,0
1,40,29,93,2697,0,1,6,2,0
1,26,38,63,2394,0,1,5,2,1
0,44,21,73,1533,1,1,2,2,0
0,53,2,90,180,1,0,7,1,1
0,26,54,45,2430,1,0,9,1,1
0,68,46,115,5290,0,2,0,1,0
1,26,30,25,750,1,2,1,2,0
1,52,4,90,360,1,0,9,0,1
1,37,11,37,407,0,0,0,0,1
1,28,11,32,352,0,2,0,2,0
0,32,59,74,4366,0,2,9,0,1
0,42,65,107,6955,0,1,2,1,0
0,51,70,114,7980,1,0,5,0,0
0,62,6,88,528,0,0,3,2,0
0,59,48,109,5232,1,1,4,1,0
1,49,53,39,2067,0,0,7,0,0
1,23,67,69,4623,0,0,4,0,1
1,27,25,89,2225,0,0,10,0,1
1,30,61,94,5734,0,1,6,2,1
1,62,12,112,1344,1,0,6,2,1
1,43,12,96,1152,1,0,5,2,1
1,65,31,65,2015,0,2,2,1,1
0,40,63,61,3843,1,1,8,2,1
0,48,43,79,3397,1,0,8,2,1
0,50,39,35,1365,0,0,2,2,0
1,37,60,61,3660,1,0,9,2,1
1,44,54,49,2646,1,2,5,1,0
1,33,33,56,1848,0,1,1,0,0
1,33,22,32,704,0,0,2,2,1
0,51,34,52,1768,1,0,0,1,0
1,21,70,108,7560,1,0,3,1,0
1,41,30,108,3240,0,1,2,0,1
1,57,46,87,4002,1,1,0,1,0
1,66,29,44,1276,0,0,8,0,1
0,20,16,50,800,0,1,4,1,0
0,45,48,118,5664,1,1,3,1,0
1,42,52,28,1456,1,1,9,0,1
1,56,68,99,6732,0,2,9,2,1
1,42,50,60,3000,0,2,4,0,0
1,39,34,57,1938,0,0,9,2,1
0,65,8,34,272,1,1,8,1,1
1,48,59,81,4779,0,0,0,0,1
0,37,7,110,770,0,0,10,1,1
0,24,63,55,3465,0,2,2,2,1
0,24,1,39,39,0,1,0,2,1
0,30,57,39,2223,0,2,6,0,0
1,43,19,103,1957,0,0,2,1,0
1,25,44,46,2024,0,2,3,1,1
0,37,63,23,1449,1,2,6,0,0
1,35,24,61,1464,0,1,5,1,0
1,62,58,116,6728,0,1,0,0,1
1,45,12,29,348,1,2,2,2,0
1,66,12,42,504,0,0,4,2,0
0,34,4,41,164,0,1,6,0,0
0,66,28,81,2268,0,0,1,2,1
1,29,39,114,4446,1,1,2,0,0
0,36,67,24,1608,1,2,3,0,0
1,33,52,95,4940,1,2,6,0,0
1,37,20,104,2080,1,2,0,0,0
0,28,12,57,684,1,1,9,0,1
1,69,35,117,4095,0,2,5,1,1
1,46,30,41,1230,1,1,9,1,1
0,41,22,33,726,0,0,10,2,1
1,35,13,61,793,0,2,0,2,1
0,64,4,98,392,0,0,6,1,1
1,42,36,59,2124,0,2,1,0,1
1,49,26,26,676,1,1,7,0,0
1,55,46,52,2392,0,0,7,2,1
1,63,57,53,3021,0,1,6,1,0
0,64,7,31,217,1,1,1,2,0
0,44,37,95,3515,0,1,0,2,0
0,41,64,104,6656,1,1,8,2,1
0,33,71,87,6177,1,2,8,1,1
0,26,20,118,2360,0,2,9,0,1
0,30,50,98,4900,0,0,0,0,1
1,52,64,29,1856,0,0,8,0,1
1,70,46,104,4784,1,0,1,1,0
1,38,18,74,1332,1,1,8,1,1
0,56,48,94,4512,1,0,3,1,0
0,61,62,88,5456,1,0,4,2,0
1,55,15,98,1470,0,0,0,1,1
1,38,4,89,356,1,2,4,0,1
1,54,63,25,1575,0,2,5,0,0
0,67,45,34,1530,1,0,5,2,0
1,70,33,24,792,1,2,4,2,0
1,52,41,57,2337,1,1,2,2,0
1,58,54,40,2160,1,0,7,0,0
0,25,57,96,5472,1,2,10,1,1
1,69,43,26,1118,1,2,3,0,0
0,53,25,80,2000,0,1,5,2,1
0,23,63,78,4914,0,1,0,0,1
1,63,37,59,2183,1,0,8,1,1
1,45,63,100,6300,0,2,8,1,1
0,32,22,40,880,1,0,2,0,0
0,32,42,42,1764,0,1,4,0,1
1,34,13,95,1235,1,2,3,1,0
1,70,34,102,3468,1,1,1,2,0
0,52,67,113,7571,1,0,4,2,0
0,49,52,71,3692,0,1,0,1,0
1,25,44,105,4620,0,2,0,1,1
0,18,27,104,2808,0,1,8,0,1
1,44,17,44,748,1,0,1,1,0
0,44,7,28,196,0,0,9,1,1
1,41,4,51,204,0,0,6,1,0
0,23,61,54,3294,0,1,2,1,1
1,20,1,78,78,0,1,8,1,1
0,20,22,32,704,1,0,4,2,0
0,54,70,111,7770,1,0,4,1,0
0,22,56,44,2464,0,1,9,2,1
1,33,34,56,1904,1,1,2,1,0
0,40,39,36,1404,1,2,6,1,0
1,56,70,120,8400,0,1,6,2,1
0,41,65,31,2015,1,2,9,2,1
1,56,68,80,5440,0,0,0,0,0
0,58,18,66,1188,0,2,4,2,0
0,34,20,30,600,1,0,6,0,0
1,55,34,72,2448,1,1,2,0,0
1,44,70,117,8190,1,2,1,1,0
0,24,23,99,2277,0,2,0,0,1
1,67,46,20,920,1,1,3,2,0
1,23,59,60,3540,0,2,3,0,0
0,67,48,74,3552,0,2,1,1,1
0,70,52,39,2028,1,1,3,0,0
1,37,18,96,1728,1,1,7,0,1
0,59,60,70,4200,1,0,9,2,1
0,57,39,20,780,0,2,4,0,0
0,60,7,107,749,1,0,10,2,1
1,38,57,103,5871,1,1,3,0,0
0,27,2,69,138,0,2,6,0,0
1,39,21,49,1029,1,1,6,0,1
0,19,56,52,2912,1,1,6,1,0
1,34,25,94,2350,0,2,8,2,1
0,25,44,47,2068,0,2,5,2,0
0,21,37,55,2035,0,1,8,2,1
0,68,40,86,3440,1,1,4,0,0
1,24,61,88,5368,1,1,7,2,0
0,22,29,119,3451,0,2,3,0,0
0,39,7,87,609,1,2,1,0,1
1,61,26,52,1352,1,2,8,1,1
0,19,65,74,4810,1,2,2,1,0
0,18,61,23,1403,0,0,10,0,1
1,23,49,68,3332,1,0,6,0,0
0,55,14,79,1106,1,1,6,1,0
0,64,34,39,1326,0,1,7,2,1
1,36,19,73,1387,1,0,10,2,1
0,32,58,32,1856,0,1,0,0,0
0,37,41,79,3239,1,2,9,2,1
1,61,3,60,180,0,2,8,1,1
1,33,45,75,3375,0,2,2,2,1
1,18,42,107,4494,1,0,2,0,0
1,57,5,83,415,0,2,6,1,1
0,43,31,51,1581,0,2,3,1,1
0,28,65,83,5395,1,0,0,2,0
1,19,56,81,4536,1,1,6,1,0
1,44,7,50,350,1,0,9,0,1
1,47,3,88,264,0,2,4,1,1
1,64,53,29,1537,1,1,8,2,1
1,70,32,97,3104,0,2,5,2,1
1,28,18,21,378,1,2,2,0,1
0,60,20,25,500,1,2,10,0,1
1,36,6,72,432,1,0,0,2,1
0,29,18,84,1512,1,1,2,1,0
1,65,26,93,2418,1,1,10,2,1
0,66,23,81,1863,0,0,4,0,1
0,49,48,54,2592,0,1,9,0,1
1,65,1,38,38,0,2,2,0,1
0,54,14,111,1554,0,1,6,0,0
1,57,44,60,2640,1,2,2,2,0
0,60,55,99,5445,0,1,4,0,0
0,70,37,120,4440,1,0,2,1,0
1,66,38,28,1064,1,0,2,1,0
0,19,4,29,116,0,2,6,0,0
0,33,62,104,6448,0,0,0,2,1
1,62,53,84,4452,1,1,6,0,0
0,46,40,118,4720,1,2,9,2,1
0,69,13,109,1417,0,0,8,0,1
0,46,2,95,190,1,0,6,1,1
1,30,34,36,1224,0,1,5,2,0
0,64,22,55,1210,0,1,9,2,1
1,36,30,33,990,1,1,9,0,1
0,55,65,108,7020,1,1,8,0,1
0,53,65,63,4095,1,1,2,2,0
0,29,25,120,3000,1,0,10,1,1
1,60,65,47,3055,0,1,7,2,1
1,44,68,63,4284,1,0,10,0,1
1,62,50,55,2750,0,2,2,2,0
0,47,49,79,3871,0,2,6,0,1
1,69,61,66,4026,0,1,1,0,0
1,69,29,38,1102,1,2,1,0,0
1,59,12,65,780,0,1,0,1,0
1,53,29,77,2233,0,1,1,0,1
1,60,69,84,5796,0,0,6,0,1
1,32,14,30,420,0,2,10,1,1
0,46,68,111,7548,1,0,10,1,1
1,40,53,52,2756,1,0,4,2,0
1,22,67,112,7504,1,1,6,1,0
1,51,36,56,2016,1,2,4,0,0
1,63,48,67,3216,1,0,8,2,1
0,70,1,56,56,1,2,1,1,0
0,26,45,109,4905,1,0,8,0,1
1,60,23,117,2691,1,2,5,2,1
1,53,19,115,2185,1,1,9,0,1
0,55,2,110,220,1,0,9,2,1
1,27,13,44,572,0,2,5,2,0
1,29,15,111,1665,0,2,10,0,1
0,55,47,27,1269,0,1,7,1,0
1,63,26,75,1950,0,1,1,2,1
0,59,55,109,5995,1,1,9,2,1
1,20,53,100,5300,1,1,7,1,0
0,18,65,98,6370,0,2,3,2,1
1,48,20,88,1760,0,1,7,1,0
1,25,13,52,676,0,2,10,0,1
1,68,57,25,1425,1,0,8,0,1
1,31,8,50,400,1,1,2,1,0
0,45,29,48,1392,1,0,6,1,0
1,25,55,90,4950,1,0,1,0,0
1,29,32,98,3136,0,0,8,0,1
1,20,44,64,2816,0,2,8,1,1
0,47,42,81,3402,1,1,0,1,0
0,26,20,48,960,1,0,2,0,1
0,21,49,73,3577,0,2,10,0,1
1,21,11,46,506,1,0,9,1,1
0,67,19,105,1995,1,2,10,0,1
1,68,23,82,1886,0,0,3,0,1
1,62,60,112,6720,1,0,6,1,0
1,22,22,83,1826,1,0,4,1,1
0,56,33,98,3234,0,0,1,0,0
1,54,72,53,3816,0,0,2,2,0
1,31,20,89,1780,0,1,0,2,1
1,24,20,72,1440,0,0,8,1,1
0,29,71,57,4047,0,2,4,1,0
1,49,10,103,1030,0,0,1,2,1
0,59,18,53,954,0,1,5,1,1
1,66,29,36,1044,0,1,2,2,1
0,21,31,96,2976,1,1,3,2,0
1,21,61,47,2867,1,0,6,1,0
0,20,33,30,990,1,2,4,2,0
1,26,1,58,58,1,0,6,1,0
0,43,6,108,648,0,1,1,2,0
1,19,7,55,385,0,1,1,1,1
1,25,16,102,1632,0,0,6,1,0
0,38,10,92,920,0,1,7,1,1
0,20,11,65,715,1,0,7,0,0
1,34,38,27,1026,1,0,8,0,1
0,34,59,29,1711,0,1,2,0,0
1,21,48,29,1392,1,0,3,2,0
1,23,70,83,5810,0,1,8,0,1
1,58,15,52,780,0,1,8,1,1
1,58,43,112,4816,1,0,1,1,0
1,19,72,118,8496,0,1,4,0,1
1,37,60,22,1320,0,0,10,0,1
1,27,13,114,1482,1,2,10,2,1
1,37,15,99,1485,1,1,0,0,0
0,55,2,20,40,1,0,7,1,1
1,31,10,55,550,1,0,6,2,1
0,32,69,21,1449,0,1,4,0,1
1,66,43,69,2967,0,0,3,0,1
1,67,23,91,2093,0,0,2,1,0
1,38,67,68,4556,1,2,8,0,1
0,36,12,37,444,0,0,1,2,0
0,53,11,30,330,1,0,3,2,0
0,20,61,109,6649,1,0,0,2,0
1,45,31,115,3565,0,1,2,2,1
0,50,63,119,7497,1,1,2,1,0
1,27,11,21,231,0,0,2,2,1
0,69,7,47,329,1,1,3,2,0
0,46,2,117,234,1,2,6,0,0
0,55,69,47,3243,1,2,7,1,0
0,18,50,88,4400,1,2,9,2,1
1,66,12,71,852,1,2,9,0,1
1,58,39,49,1911,0,0,10,0,1
0,32,21,103,2163,0,1,9,2,1
0,58,15,86,1290,1,1,2,2,0
0,28,46,80,3680,1,0,10,2,1
0,40,13,21,273,0,0,1,0,1
0,19,72,109,7848,0,0,7,1,1
0,19,4,61,244,0,2,0,1,1
0,54,57,36,2052,1,0,8,1,1
0,40,59,115,6785,1,2,6,1,0
0,69,52,73,3796,1,0,2,1,0
0,51,66,119,7854,1,1,7,0,0
0,49,37,46,1702,0,1,0,0,0
0,39,53,23,1219,1,0,5,2,0
1,25,60,42,2520,1,2,10,1,1
1,24,40,60,2400,1,1,8,2,1
1,56,66,40,2640,1,0,2,0,0
1,19,38,37,1406,1,0,3,2,0
