CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,SupportCalls,PaymentMethod,Churn
CUST49,Male,18,26,105,2730,Yearly,None,5,Card,No
CUST50,Female,55,13,108,1404,Monthly,Fiber,3,Cash,No
CUST51,Male,51,28,79,2212,Yearly,Fiber,4,Online,No
CUST52,Female,28,2,27,54,Yearly,Fiber,3,Cash,No
CUST53,Female,29,16,113,1808,Yearly,DSL,5,Online,Yes
CUST54,Female,31,24,77,1848,Monthly,None,10,Online,Yes
CUST55,Female,28,10,47,470,Yearly,None,5,Cash,Yes
CUST56,Male,62,57,84,4788,Monthly,Fiber,1,Card,No
CUST57,Female,33,55,78,4290,Monthly,Fiber,0,Card,No
CUST58,Male,26,58,24,1392,Yearly,None,1,Card,No
CUST59,Male,52,29,21,609,Yearly,None,6,Cash,No
CUST60,Male,64,43,39,1677,Yearly,Fiber,2,Online,No
CUST61,Male,59,61,22,1342,Yearly,DSL,2,Cash,No
CUST62,Male,37,17,65,1105,Yearly,DSL,5,Card,No
CUST63,Female,60,4,32,128,Yearly,None,2,Cash,No
CUST64,Male,26,59,63,3717,Monthly,None,8,Cash,Yes
CUST65,Female,44,68,43,2924,Yearly,None,0,Online,No
CUST66,Male,45,52,31,1612,Monthly,None,2,Card,No
CUST67,Female,40,53,42,2226,Yearly,Fiber,9,Card,Yes
CUST68,Male,38,55,73,4015,Monthly,Fiber,9,Cash,Yes
CUST69,Male,20,22,31,682,Monthly,DSL,9,Card,Yes
CUST70,Female,50,62,31,1922,Monthly,None,8,Cash,Yes
CUST71,Male,56,12,107,1284,Monthly,DSL,3,Card,No
CUST72,Male,29,7,67,469,Monthly,DSL,4,Online,No
CUST73,Male,70,60,109,6540,Monthly,None,1,Card,Yes
CUST74,Male,38,53,28,1484,Monthly,None,4,Online,Yes
CUST75,Female,44,58,111,6438,Monthly,None,3,Cash,No
CUST76,Male,43,15,60,900,Monthly,DSL,7,Online,No
CUST77,Female,29,43,56,2408,Monthly,None,4,Cash,No
CUST78,Male,55,58,34,1972,Yearly,None,6,Cash,No
CUST79,Female,20,16,29,464,Yearly,Fiber,5,Card,Yes
CUST80,Male,66,69,50,3450,Monthly,Fiber,0,Card,Yes
CUST81,Female,20,36,80,2880,Yearly,None,0,Online,No
CUST82,Female,18,6,84,504,Yearly,None,0,Online,Yes
CUST83,Female,34,4,110,440,Yearly,DSL,5,Card,No
CUST84,Male,38,71,77,5467,Monthly,DSL,2,Online,Yes
CUST85,Female,43,5,71,355,Monthly,None,5,Online,Yes
CUST86,Female,45,30,109,3270,Yearly,DSL,4,Online,No
CUST87,Male,63,14,119,1666,Yearly,Fiber,7,Online,Yes
CUST88,Female,23,11,45,495,Yearly,None,5,Card,Yes
CUST89,Female,58,8,117,936,Monthly,None,2,Cash,No
CUST90,Male,53,8,29,232,Yearly,None,6,Card,Yes
CUST91,Female,23,3,89,267,Yearly,Fiber,10,Cash,Yes
CUST92,Male,31,26,67,1742,Yearly,Fiber,9,Cash,Yes
CUST93,Female,67,33,39,1287,Monthly,Fiber,5,Cash,No
CUST94,Female,55,59,36,2124,Yearly,Fiber,3,Cash,No
CUST95,Female,69,72,35,2520,Yearly,Fiber,7,Online,No
CUST96,Female,41,69,30,2070,Yearly,Fiber,1,Card,No
CUST97,Female,21,8,33,264,Monthly,DSL,7,Online,No
CUST98,Male,25,67,63,4221,Yearly,None,6,Online,No
CUST99,Female,51,1,28,28,Yearly,Fiber,2,Online,Yes
CUST100,Female,26,55,46,2530,Yearly,Fiber,9,Online,Yes
CUST101,Female,38,46,86,3956,Yearly,DSL,3,Cash,No
CUST102,Female,49,2,20,40,Monthly,Fiber,6,Card,No
CUST103,Female,51,2,57,114,Yearly,DSL,1,Online,No
CUST104,Female,57,41,101,4141,Yearly,None,3,Card,No
CUST105,Female,65,66,118,7788,Monthly,Fiber,4,Cash,Yes
CUST106,Female,48,2,63,126,Monthly,DSL,0,Online,Yes
CUST107,Female,44,52,22,1144,Monthly,DSL,3,Online,Yes
CUST108,Female,37,7,38,266,Yearly,Fiber,8,Online,Yes
CUST109,Female,58,54,113,6102,Monthly,None,6,Online,No
CUST110,Male,59,65,120,7800,Monthly,Fiber,2,Cash,No
CUST111,Female,49,21,94,1974,Monthly,Fiber,9,Card,Yes
CUST112,Male,20,23,21,483,Yearly,Fiber,7,Card,Yes
CUST113,Male,59,1,61,61,Monthly,None,10,Card,Yes
CUST114,Male,63,55,110,6050,Monthly,DSL,5,Card,Yes
CUST115,Male,59,25,97,2425,Monthly,Fiber,2,Cash,Yes
CUST116,Male,43,8,83,664,Monthly,None,4,Card,Yes
CUST117,Female,32,8,46,368,Yearly,DSL,0,Online,No
CUST118,Male,50,61,110,6710,Yearly,None,3,Card,No
CUST119,Male,68,12,93,1116,Monthly,Fiber,2,Cash,Yes
CUST120,Female,60,48,93,4464,Monthly,Fiber,5,Online,No
CUST121,Male,34,60,55,3300,Yearly,None,6,Online,No
CUST122,Female,43,14,85,1190,Yearly,None,9,Cash,Yes
CUST123,Female,61,1,107,107,Yearly,DSL,3,Online,Yes
CUST124,Female,34,69,71,4899,Monthly,None,4,Card,No
CUST125,Female,44,29,48,1392,Monthly,Fiber,4,Online,Yes
CUST126,Female,47,6,55,330,Yearly,None,10,Cash,Yes
CUST127,Female,22,37,79,2923,Yearly,None,10,Cash,Yes
CUST128,Male,34,7,80,560,Yearly,Fiber,5,Online,Yes
CUST129,Female,29,15,25,375,Yearly,None,4,Online,No
CUST130,Female,66,47,54,2538,Monthly,DSL,5,Cash,No
CUST131,Male,47,14,79,1106,Yearly,Fiber,1,Cash,Yes
CUST132,Male,35,23,108,2484,Yearly,DSL,5,Card,No
CUST133,Male,29,1,64,64,Monthly,None,10,Online,Yes
CUST134,Female,70,41,75,3075,Monthly,None,0,Cash,Yes
CUST135,Female,27,31,104,3224,Yearly,None,8,Card,Yes
CUST136,Female,27,65,112,7280,Monthly,Fiber,6,Online,Yes
CUST137,Female,40,51,114,5814,Yearly,DSL,2,Cash,No
CUST138,Female,23,2,74,148,Monthly,DSL,10,Card,Yes
CUST139,Female,51,27,47,1269,Yearly,Fiber,4,Online,No
CUST140,Male,61,35,34,1190,Yearly,DSL,7,Cash,No
CUST141,Male,45,61,21,1281,Yearly,Fiber,6,Online,No
CUST142,Male,68,32,92,2944,Yearly,Fiber,8,Card,Yes
CUST143,Female,36,60,100,6000,Yearly,DSL,4,Cash,No
CUST144,Female,22,25,98,2450,Yearly,None,1,Online,No
CUST145,Male,44,39,109,4251,Monthly,Fiber,3,Online,Yes
CUST146,Female,22,31,33,1023,Yearly,None,8,Cash,Yes
CUST147,Female,39,66,33,2178,Monthly,None,5,Cash,No
CUST148,Female,58,14,110,1540,Monthly,DSL,4,Cash,No
CUST149,Female,30,34,84,2856,Yearly,DSL,7,Cash,No
CUST150,Male,31,37,58,2146,Yearly,DSL,2,Card,No
CUST151,Female,59,26,91,2366,Yearly,Fiber,6,Cash,No
CUST152,Female,22,45,81,3645,Yearly,None,4,Cash,No
CUST153,Male,49,39,105,4095,Monthly,None,4,Card,Yes
CUST154,Male,39,18,52,936,Monthly,None,7,Cash,Yes
CUST155,Female,38,56,52,2912,Yearly,Fiber,4,Online,No
CUST156,Male,42,69,97,6693,Yearly,DSL,2,Cash,No
CUST157,Female,68,5,56,280,Yearly,DSL,0,Card,No
CUST158,Male,25,25,58,1450,Yearly,DSL,9,Cash,Yes
CUST159,Female,33,23,76,1748,Monthly,DSL,0,Online,No
CUST160,Female,35,40,86,3440,Monthly,None,4,Cash,Yes
CUST161,Male,51,21,89,1869,Monthly,DSL,1,Cash,No
CUST162,Female,50,64,51,3264,Monthly,Fiber,5,Card,No
CUST163,Female,35,30,65,1950,Monthly,None,10,Card,Yes
CUST164,Female,22,51,52,2652,Yearly,None,9,Card,Yes
CUST165,Female,26,8,119,952,Monthly,None,10,Cash,Yes
CUST166,Female,64,60,101,6060,Yearly,Fiber,0,Cash,No
CUST167,Male,38,13,98,1274,Yearly,Fiber,5,Card,No
CUST168,Male,66,18,45,810,Monthly,Fiber,6,Cash,Yes
CUST169,Female,27,32,73,2336,Monthly,Fiber,1,Online,No
CUST170,Male,20,64,53,3392,Yearly,None,5,Online,No
CUST171,Male,36,13,85,1105,Monthly,DSL,3,Cash,Yes
CUST172,Female,29,18,64,1152,Yearly,DSL,9,Cash,Yes
CUST173,Female,22,49,63,3087,Monthly,None,10,Online,Yes
CUST174,Male,25,13,107,1391,Monthly,Fiber,0,Online,No
CUST175,Female,64,15,28,420,Yearly,DSL,2,Cash,No
CUST176,Male,62,62,49,3038,Monthly,Fiber,10,Online,Yes
CUST177,Female,54,65,39,2535,Monthly,None,7,Card,Yes
CUST178,Male,54,49,43,2107,Yearly,Fiber,3,Online,No
CUST179,Male,47,32,107,3424,Yearly,Fiber,10,Online,Yes
CUST180,Male,57,6,113,678,Yearly,DSL,8,Cash,Yes
CUST181,Male,35,4,46,184,Monthly,DSL,7,Cash,No
CUST182,Female,62,41,56,2296,Monthly,Fiber,1,Online,No
CUST183,Female,50,42,30,1260,Monthly,None,5,Card,Yes
CUST184,Male,50,57,37,2109,Yearly,Fiber,1,Online,No
CUST185,Female,41,48,21,1008,Monthly,None,3,Cash,No
CUST186,Female,62,68,102,6936,Monthly,Fiber,3,Online,No
CUST187,Male,29,65,69,4485,Yearly,DSL,7,Cash,No
CUST188,Male,52,12,101,1212,Yearly,Fiber,5,Online,Yes
CUST189,Male,57,6,94,564,Monthly,None,8,Online,Yes
CUST190,Female,37,63,111,6993,Yearly,DSL,1,Online,No
CUST191,Male,70,43,104,4472,Yearly,Fiber,9,Cash,Yes
CUST192,Male,70,48,119,5712,Yearly,Fiber,3,Online,No
CUST193,Male,18,68,85,5780,Yearly,None,6,Cash,No
CUST194,Female,66,16,73,1168,Yearly,None,10,Card,Yes
CUST195,Female,55,46,74,3404,Yearly,Fiber,10,Card,Yes
CUST196,Female,46,67,93,6231,Monthly,None,2,Online,No
CUST197,Male,33,72,106,7632,Yearly,None,5,Online,No
CUST198,Male,26,58,77,4466,Monthly,Fiber,2,Cash,Yes
CUST199,Female,68,71,62,4402,Monthly,None,5,Online,No
CUST200,Male,30,68,40,2720,Monthly,Fiber,10,Card,Yes
CUST201,Male,44,67,70,4690,Monthly,None,3,Online,Yes
CUST202,Male,42,27,69,1863,Monthly,None,0,Card,No
CUST203,Male,32,29,41,1189,Yearly,None,7,Cash,No
CUST204,Female,43,30,66,1980,Yearly,None,7,Online,No
CUST205,Female,20,40,29,1160,Monthly,DSL,0,Card,No
CUST206,Male,29,22,97,2134,Yearly,Fiber,7,Card,Yes
CUST207,Female,60,11,53,583,Yearly,Fiber,3,Cash,No
CUST208,Male,35,57,76,4332,Yearly,DSL,7,Online,No
CUST209,Male,25,49,107,5243,Yearly,Fiber,1,Card,No
CUST210,Female,52,2,113,226,Monthly,DSL,9,Card,Yes
CUST211,Male,59,50,80,4000,Yearly,DSL,1,Online,No
CUST212,Male,46,21,47,987,Yearly,DSL,7,Card,No
CUST213,Male,31,66,58,3828,Monthly,DSL,5,Cash,No
CUST214,Male,40,29,93,2697,Monthly,Fiber,6,Online,No
CUST215,Male,26,38,63,2394,Monthly,Fiber,5,Online,Yes
CUST216,Female,44,21,73,1533,Yearly,Fiber,2,Online,No
CUST217,Female,53,2,90,180,Yearly,DSL,7,Cash,Yes
CUST218,Female,26,54,45,2430,Yearly,DSL,9,Cash,Yes
CUST219,Female,68,46,115,5290,Monthly,None,0,Cash,No
CUST220,Male,26,30,25,750,Yearly,None,1,Online,No
CUST221,Male,52,4,90,360,Yearly,DSL,9,Card,Yes
CUST222,Male,37,11,37,407,Monthly,DSL,0,Card,Yes
CUST223,Male,28,11,32,352,Monthly,None,0,Online,No
CUST224,Female,32,59,74,4366,Monthly,None,9,Card,Yes
CUST225,Female,42,65,107,6955,Monthly,Fiber,2,Cash,No
CUST226,Female,51,70,114,7980,Yearly,DSL,5,Card,No
CUST227,Female,62,6,88,528,Monthly,DSL,3,Online,No
CUST228,Female,59,48,109,5232,Yearly,Fiber,4,Cash,No
CUST229,Male,49,53,39,2067,Monthly,DSL,7,Card,No
CUST230,Male,23,67,69,4623,Monthly,DSL,4,Card,Yes
CUST231,Male,27,25,89,2225,Monthly,DSL,10,Card,Yes
CUST232,Male,30,61,94,5734,Monthly,Fiber,6,Online,Yes
CUST233,Male,62,12,112,1344,Yearly,DSL,6,Online,Yes
CUST234,Male,43,12,96,1152,Yearly,DSL,5,Online,Yes
CUST235,Male,65,31,65,2015,Monthly,None,2,Cash,Yes
CUST236,Female,40,63,61,3843,Yearly,Fiber,8,Online,Yes
CUST237,Female,48,43,79,3397,Yearly,DSL,8,Online,Yes
CUST238,Female,50,39,35,1365,Monthly,DSL,2,Online,No
CUST239,Male,37,60,61,3660,Yearly,DSL,9,Online,Yes
CUST240,Male,44,54,49,2646,Yearly,None,5,Cash,No
CUST241,Male,33,33,56,1848,Monthly,Fiber,1,Card,No
CUST242,Male,33,22,32,704,Monthly,DSL,2,Online,Yes
CUST243,Female,51,34,52,1768,Yearly,DSL,0,Cash,No
CUST244,Male,21,70,108,7560,Yearly,DSL,3,Cash,No
CUST245,Male,41,30,108,3240,Monthly,Fiber,2,Card,Yes
CUST246,Male,57,46,87,4002,Yearly,Fiber,0,Cash,No
CUST247,Male,66,29,44,1276,Monthly,DSL,8,Card,Yes
CUST248,Female,20,16,50,800,Monthly,Fiber,4,Cash,No
CUST249,Female,45,48,118,5664,Yearly,Fiber,3,Cash,No
CUST250,Male,42,52,28,1456,Yearly,Fiber,9,Card,Yes
CUST251,Male,56,68,99,6732,Monthly,None,9,Online,Yes
CUST252,Male,42,50,60,3000,Monthly,None,4,Card,No
CUST253,Male,39,34,57,1938,Monthly,DSL,9,Online,Yes
CUST254,Female,65,8,34,272,Yearly,Fiber,8,Cash,Yes
CUST255,Male,48,59,81,4779,Monthly,DSL,0,Card,Yes
CUST256,Female,37,7,110,770,Monthly,DSL,10,Cash,Yes
CUST257,Female,24,63,55,3465,Monthly,None,2,Online,Yes
CUST258,Female,24,1,39,39,Monthly,Fiber,0,Online,Yes
CUST259,Female,30,57,39,2223,Monthly,None,6,Card,No
CUST260,Male,43,19,103,1957,Monthly,DSL,2,Cash,No
CUST261,Male,25,44,46,2024,Monthly,None,3,Cash,Yes
CUST262,Female,37,63,23,1449,Yearly,None,6,Card,No
CUST263,Male,35,24,61,1464,Monthly,Fiber,5,Cash,No
CUST264,Male,62,58,116,6728,Monthly,Fiber,0,Card,Yes
CUST265,Male,45,12,29,348,Yearly,None,2,Online,No
CUST266,Male,66,12,42,504,Monthly,DSL,4,Online,No
CUST267,Female,34,4,41,164,Monthly,Fiber,6,Card,No
CUST268,Female,66,28,81,2268,Monthly,DSL,1,Online,Yes
CUST269,Male,29,39,114,4446,Yearly,Fiber,2,Card,No
CUST270,Female,36,67,24,1608,Yearly,None,3,Card,No
CUST271,Male,33,52,95,4940,Yearly,None,6,Card,No
CUST272,Male,37,20,104,2080,Yearly,None,0,Card,No
CUST273,Female,28,12,57,684,Yearly,Fiber,9,Card,Yes
CUST274,Male,69,35,117,4095,Monthly,None,5,Cash,Yes
CUST275,Male,46,30,41,1230,Yearly,Fiber,9,Cash,Yes
CUST276,Female,41,22,33,726,Monthly,DSL,10,Online,Yes
CUST277,Male,35,13,61,793,Monthly,None,0,Online,Yes
CUST278,Female,64,4,98,392,Monthly,DSL,6,Cash,Yes
CUST279,Male,42,36,59,2124,Monthly,None,1,Card,Yes
CUST280,Male,49,26,26,676,Yearly,Fiber,7,Card,No
CUST281,Male,55,46,52,2392,Monthly,DSL,7,Online,Yes
CUST282,Male,63,57,53,3021,Monthly,Fiber,6,Cash,No
CUST283,Female,64,7,31,217,Yearly,Fiber,1,Online,No
CUST284,Female,44,37,95,3515,Monthly,Fiber,0,Online,No
CUST285,Female,41,64,104,6656,Yearly,Fiber,8,Online,Yes
CUST286,Female,33,71,87,6177,Yearly,None,8,Cash,Yes
CUST287,Female,26,20,118,2360,Monthly,None,9,Card,Yes
CUST288,Female,30,50,98,4900,Monthly,DSL,0,Card,Yes
CUST289,Male,52,64,29,1856,Monthly,DSL,8,Card,Yes
CUST290,Male,70,46,104,4784,Yearly,DSL,1,Cash,No
CUST291,Male,38,18,74,1332,Yearly,Fiber,8,Cash,Yes
CUST292,Female,56,48,94,4512,Yearly,DSL,3,Cash,No
CUST293,Female,61,62,88,5456,Yearly,DSL,4,Online,No
CUST294,Male,55,15,98,1470,Monthly,DSL,0,Cash,Yes
CUST295,Male,38,4,89,356,Yearly,None,4,Card,Yes
CUST296,Male,54,63,25,1575,Monthly,None,5,Card,No
CUST297,Female,67,45,34,1530,Yearly,DSL,5,Online,No
CUST298,Male,70,33,24,792,Yearly,None,4,Online,No
CUST299,Male,52,41,57,2337,Yearly,Fiber,2,Online,No
CUST300,Male,58,54,40,2160,Yearly,DSL,7,Card,No
CUST301,Female,25,57,96,5472,Yearly,None,10,Cash,Yes
CUST302,Male,69,43,26,1118,Yearly,None,3,Card,No
CUST303,Female,53,25,80,2000,Monthly,Fiber,5,Online,Yes
CUST304,Female,23,63,78,4914,Monthly,Fiber,0,Card,Yes
CUST305,Male,63,37,59,2183,Yearly,DSL,8,Cash,Yes
CUST306,Male,45,63,100,6300,Monthly,None,8,Cash,Yes
CUST307,Female,32,22,40,880,Yearly,DSL,2,Card,No
CUST308,Female,32,42,42,1764,Monthly,Fiber,4,Card,Yes
CUST309,Male,34,13,95,1235,Yearly,None,3,Cash,No
CUST310,Male,70,34,102,3468,Yearly,Fiber,1,Online,No
CUST311,Female,52,67,113,7571,Yearly,DSL,4,Online,No
CUST312,Female,49,52,71,3692,Monthly,Fiber,0,Cash,No
CUST313,Male,25,44,105,4620,Monthly,None,0,Cash,Yes
CUST314,Female,18,27,104,2808,Monthly,Fiber,8,Card,Yes
CUST315,Male,44,17,44,748,Yearly,DSL,1,Cash,No
CUST316,Female,44,7,28,196,Monthly,DSL,9,Cash,Yes
CUST317,Male,41,4,51,204,Monthly,DSL,6,Cash,No
CUST318,Female,23,61,54,3294,Monthly,Fiber,2,Cash,Yes
CUST319,Male,20,1,78,78,Monthly,Fiber,8,Cash,Yes
CUST320,Female,20,22,32,704,Yearly,DSL,4,Online,No
CUST321,Female,54,70,111,7770,Yearly,DSL,4,Cash,No
CUST322,Female,22,56,44,2464,Monthly,Fiber,9,Online,Yes
CUST323,Male,33,34,56,1904,Yearly,Fiber,2,Cash,No
CUST324,Female,40,39,36,1404,Yearly,None,6,Cash,No
CUST325,Male,56,70,120,8400,Monthly,Fiber,6,Online,Yes
CUST326,Female,41,65,31,2015,Yearly,None,9,Online,Yes
CUST327,Male,56,68,80,5440,Monthly,DSL,0,Card,No
CUST328,Female,58,18,66,1188,Monthly,None,4,Online,No
CUST329,Female,34,20,30,600,Yearly,DSL,6,Card,No
CUST330,Male,55,34,72,2448,Yearly,Fiber,2,Card,No
CUST331,Male,44,70,117,8190,Yearly,None,1,Cash,No
CUST332,Female,24,23,99,2277,Monthly,None,0,Card,Yes
CUST333,Male,67,46,20,920,Yearly,Fiber,3,Online,No
CUST334,Male,23,59,60,3540,Monthly,None,3,Card,No
CUST335,Female,67,48,74,3552,Monthly,None,1,Cash,Yes
CUST336,Female,70,52,39,2028,Yearly,Fiber,3,Card,No
CUST337,Male,37,18,96,1728,Yearly,Fiber,7,Card,Yes
CUST338,Female,59,60,70,4200,Yearly,DSL,9,Online,Yes
CUST339,Female,57,39,20,780,Monthly,None,4,Card,No
CUST340,Female,60,7,107,749,Yearly,DSL,10,Online,Yes
CUST341,Male,38,57,103,5871,Yearly,Fiber,3,Card,No
CUST342,Female,27,2,69,138,Monthly,None,6,Card,No
CUST343,Male,39,21,49,1029,Yearly,Fiber,6,Card,Yes
CUST344,Female,19,56,52,2912,Yearly,Fiber,6,Cash,No
CUST345,Male,34,25,94,2350,Monthly,None,8,Online,Yes
CUST346,Female,25,44,47,2068,Monthly,None,5,Online,No
CUST347,Female,21,37,55,2035,Monthly,Fiber,8,Online,Yes
CUST348,Female,68,40,86,3440,Yearly,Fiber,4,Card,No
CUST349,Male,24,61,88,5368,Yearly,Fiber,7,Online,No
CUST350,Female,22,29,119,3451,Monthly,None,3,Card,No
CUST351,Female,39,7,87,609,Yearly,None,1,Card,Yes
CUST352,Male,61,26,52,1352,Yearly,None,8,Cash,Yes
CUST353,Female,19,65,74,4810,Yearly,None,2,Cash,No
CUST354,Female,18,61,23,1403,Monthly,DSL,10,Card,Yes
CUST355,Male,23,49,68,3332,Yearly,DSL,6,Card,No
CUST356,Female,55,14,79,1106,Yearly,Fiber,6,Cash,No
CUST357,Female,64,34,39,1326,Monthly,Fiber,7,Online,Yes
CUST358,Male,36,19,73,1387,Yearly,DSL,10,Online,Yes
CUST359,Female,32,58,32,1856,Monthly,Fiber,0,Card,No
CUST360,Female,37,41,79,3239,Yearly,None,9,Online,Yes
CUST361,Male,61,3,60,180,Monthly,None,8,Cash,Yes
CUST362,Male,33,45,75,3375,Monthly,None,2,Online,Yes
CUST363,Male,18,42,107,4494,Yearly,DSL,2,Card,No
CUST364,Male,57,5,83,415,Monthly,None,6,Cash,Yes
CUST365,Female,43,31,51,1581,Monthly,None,3,Cash,Yes
CUST366,Female,28,65,83,5395,Yearly,DSL,0,Online,No
CUST367,Male,19,56,81,4536,Yearly,Fiber,6,Cash,No
CUST368,Male,44,7,50,350,Yearly,DSL,9,Card,Yes
CUST369,Male,47,3,88,264,Monthly,None,4,Cash,Yes
CUST370,Male,64,53,29,1537,Yearly,Fiber,8,Online,Yes
CUST371,Male,70,32,97,3104,Monthly,None,5,Online,Yes
CUST372,Male,28,18,21,378,Yearly,None,2,Card,Yes
CUST373,Female,60,20,25,500,Yearly,None,10,Card,Yes
CUST374,Male,36,6,72,432,Yearly,DSL,0,Online,Yes
CUST375,Female,29,18,84,1512,Yearly,Fiber,2,Cash,No
CUST376,Male,65,26,93,2418,Yearly,Fiber,10,Online,Yes
CUST377,Female,66,23,81,1863,Monthly,DSL,4,Card,Yes
CUST378,Female,49,48,54,2592,Monthly,Fiber,9,Card,Yes
CUST379,Male,65,1,38,38,Monthly,None,2,Card,Yes
CUST380,Female,54,14,111,1554,Monthly,Fiber,6,Card,No
CUST381,Male,57,44,60,2640,Yearly,None,2,Online,No
CUST382,Female,60,55,99,5445,Monthly,Fiber,4,Card,No
CUST383,Female,70,37,120,4440,Yearly,DSL,2,Cash,No
CUST384,Male,66,38,28,1064,Yearly,DSL,2,Cash,No
CUST385,Female,19,4,29,116,Monthly,None,6,Card,No
CUST386,Female,33,62,104,6448,Monthly,DSL,0,Online,Yes
CUST387,Male,62,53,84,4452,Yearly,Fiber,6,Card,No
CUST388,Female,46,40,118,4720,Yearly,None,9,Online,Yes
CUST389,Female,69,13,109,1417,Monthly,DSL,8,Card,Yes
CUST390,Female,46,2,95,190,Yearly,DSL,6,Cash,Yes
CUST391,Male,30,34,36,1224,Monthly,Fiber,5,Online,No
CUST392,Female,64,22,55,1210,Monthly,Fiber,9,Online,Yes
CUST393,Male,36,30,33,990,Yearly,Fiber,9,Card,Yes
CUST394,Female,55,65,108,7020,Yearly,Fiber,8,Card,Yes
CUST395,Female,53,65,63,4095,Yearly,Fiber,2,Online,No
CUST396,Female,29,25,120,3000,Yearly,DSL,10,Cash,Yes
CUST397,Male,60,65,47,3055,Monthly,Fiber,7,Online,Yes
CUST398,Male,44,68,63,4284,Yearly,DSL,10,Card,Yes
CUST399,Male,62,50,55,2750,Monthly,None,2,Online,No
CUST400,Female,47,49,79,3871,Monthly,None,6,Card,Yes
CUST401,Male,69,61,66,4026,Monthly,Fiber,1,Card,No
CUST402,Male,69,29,38,1102,Yearly,None,1,Card,No
CUST403,Male,59,12,65,780,Monthly,Fiber,0,Cash,No
CUST404,Male,53,29,77,2233,Monthly,Fiber,1,Card,Yes
CUST405,Male,60,69,84,5796,Monthly,DSL,6,Card,Yes
CUST406,Male,32,14,30,420,Monthly,None,10,Cash,Yes
CUST407,Female,46,68,111,7548,Yearly,DSL,10,Cash,Yes
CUST408,Male,40,53,52,2756,Yearly,DSL,4,Online,No
CUST409,Male,22,67,112,7504,Yearly,Fiber,6,Cash,No
CUST410,Male,51,36,56,2016,Yearly,None,4,Card,No
CUST411,Male,63,48,67,3216,Yearly,DSL,8,Online,Yes
